2-marijuana-fgroup,2-marijuana-LG_L1-AUROC,2-marijuana-LG_L1-recall,2-marijuana-LG_L2-AUROC,2-marijuana-LG_L2-recall,2-marijuana-LG_EN-AUROC,2-marijuana-LG_EN-recall,2-marijuana-DT-AUROC,2-marijuana-DT-recall,2-marijuana-SVM-AUROC,2-marijuana-SVM-recall,2-marijuana-baseline
g9,0.419815668202765,0.22857142857142856,0.4511520737327189,0.2857142857142857,0.4483870967741935,0.2857142857142857,0.434331797235023,0.22857142857142856,0.5036866359447004,0.34285714285714286,0.6391752577319587
g10,0.4377880184331797,0.2571428571428571,0.45668202764976956,0.3142857142857143,0.4599078341013826,0.3142857142857143,0.5200460829493088,0.4,0.4539170506912442,0.2857142857142857,0.6391752577319587
g11,0.5156682027649769,0.34285714285714286,0.5161290322580645,0.3142857142857143,0.5156682027649769,0.3142857142857143,0.4967741935483871,0.2571428571428571,0.519815668202765,0.37142857142857144,0.6391752577319587
pca,0.5142857142857142,0.22857142857142856,0.0,0.0,0.31612903225806444,0.0,0.5069124423963134,0.2571428571428571,0.3691244239631336,0.11428571428571428,0.6391752577319587
chi2,0.42258064516129035,0.11428571428571428,0.44930875576036866,0.14285714285714285,0.45622119815668205,0.14285714285714285,0.6161290322580644,0.45714285714285713,0.5216589861751152,0.37142857142857144,0.6391752577319587
thresholding,0.5152073732718894,0.22857142857142856,0.49400921658986174,0.34285714285714286,0.5663594470046083,0.3142857142857143,0.5382488479262673,0.34285714285714286,0.5258064516129033,0.34285714285714286,0.6391752577319587
