2-marijuana-fgroup,2-marijuana-GB-AUROC,2-marijuana-GB-recall,2-marijuana-baseline
g9,0.4419354838709677,0.2571428571428571,0.6391752577319587
g10,0.4032258064516128,0.3142857142857143,0.6391752577319587
g11,0.39815668202764976,0.2857142857142857,0.6391752577319587
pca,0.39815668202764976,0.11428571428571428,0.6391752577319587
chi2,0.6101382488479263,0.4,0.6391752577319587
thresholding,0.4405529953917051,0.34285714285714286,0.6391752577319587
