2-marijuana-fgroup,2-marijuana-DT-AUROC,2-marijuana-DT-recall,2-marijuana-baseline
g12,0.6004608294930875,0.42857142857142855,0.6391752577319587
g13,0.48110599078341015,0.45714285714285713,0.6391752577319587
g14,0.5622119815668203,0.4,0.6391752577319587
pca,0.5813364055299539,0.4857142857142857,0.6391752577319587
chi2,0.467741935483871,0.37142857142857144,0.6391752577319587
thresholding,0.42004608294930873,0.37142857142857144,0.6391752577319587
